year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2010,1,0.995428571428571,1,1,1,1,1,1,1,1,1
2011,1,0.995428571428571,1,1,1,1,0.999714285714286,1,1,1,1
2012,1,0.995428571428571,0.999714285714286,1,1,1,1,1,1,1,1
2013,1,0.995428571428571,0.999714285714286,1,1,1,1,1,1,1,1
2014,1,0.995428571428571,0.999714285714286,1,1,1,0.999714285714286,1,0.999714285714286,1,1
2015,1,0.995428571428571,0.999714285714286,1,0.999428571428571,1,0.999142857142857,1,0.999714285714286,1,1
2016,0.999428571428571,0.995428571428571,0.999428571428571,1,0.999428571428571,1,0.986285714285714,1,0.999142857142857,1,1
