year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,1,1,1,0.999428571428571,1,1,0.999428571428571,1,1,1,1
2013,1,1,1,0.999428571428571,1,1,0.999428571428571,1,1,1,1
2014,1,1,1,0.999428571428571,1,1,0.999428571428571,1,1,1,1
2015,1,1,1,0.999428571428571,1,1,0.999428571428571,1,1,1,1
2016,1,1,1,0.999428571428571,1,1,1,1,1,1,1
2017,1,1,1,0.999428571428571,1,1,0.999142857142857,1,1,1,1
2018,1,0.999714285714286,1,0.998857142857143,1,1,0.962,1,1,1,0.998285714285714
